corpus: preloaded/ententen20_tt31_1
subcorpus: English Wikipedia
size: 133618
query: Query:[lempos_lc="(love)-v"]
Reference,Sentence
wikipedia.org | <s> My father and mother came to love him very much. </s> 
wikipedia.org | <s> They love spending time together and taking frequent walks. </s> 
wikipedia.org | <s> I'm going to love you so much. </s> 
wikipedia.org | <s> Here's to the school we love . </s> 
wikipedia.org | <s> He loves himself more than any girl. </s> 
wikipedia.org | <s> Can a city girl learn to love the great outdoors? </s> 
wikipedia.org | <s> I really didn't feel like I was loved . </s> 
wikipedia.org | <s> The jury, however, loved the film. </s> 
wikipedia.org | <s> They loved the place, and stayed. </s> 
wikipedia.org | <s> He works hard, he loves the game of football. </s> 
wikipedia.org | <s> I love doing challenging characters which have many shades. </s> 
wikipedia.org | <s> With her help he changes and starts loving her. </s> 
wikipedia.org | <s> She tells him that she never loved him. </s> 
wikipedia.org | <s> The pair find friendship as they mourn their respective loved ones. </s> 
wikipedia.org | <s> If you love it, you stay with it. </s> 
wikipedia.org | <s> She never married Charity's father and probably never loved him. </s> 
wikipedia.org | <s> I love business for the activity it creates, the total commitment. </s> 
wikipedia.org | <s> His students love him but he's a nag. </s> 
wikipedia.org | <s> Hazem loved to play football for fun. </s> 
wikipedia.org | <s> It turns out Gatsby loved her before going off to war. </s> 
wikipedia.org | <s> A psychopath who loves to fight and kill. </s> 
wikipedia.org | <s> Local people love to drink buttermilk locally known as Chhash. </s> 
wikipedia.org | <s> He's a young man that– I love him to death. </s> 
wikipedia.org | <s> She says Ray doesn't love her or anyone, and leaves. </s> 
wikipedia.org | <s> One pop of that booty, everybody love me. </s> 
wikipedia.org | <s> Olimbia loves him, despite his poverty. </s> 
wikipedia.org | <s> He then made love to her. </s> 
wikipedia.org | <s> I don't know why I loved it". </s> 
wikipedia.org | <s> He was loved and adored by them. </s> 
wikipedia.org | <s> Angel is Latino and Ed loves drugs. </s> 
wikipedia.org | <s> Saram is an easy going guy and loves music. </s> 
wikipedia.org | <s> Wootton loved sports and would often go hunting with the men. </s> 
wikipedia.org | <s> The guy who Midori falls in love with. </s> 
wikipedia.org | <s> I absolutely loved it from the first moment. </s> 
wikipedia.org | <s> The two fell in love just weeks before Hurricane Katrina. </s> 
wikipedia.org | <s> The performers are monks and lay people who love lhamo. </s> 
wikipedia.org | <s> Love the Sun and Follow The Trail! </s> 
wikipedia.org | <s> She loves flowers more than anything, affecting Tsubomi a lot. </s> 
wikipedia.org | <s> Hence, she became very much loved and respected. </s> 
wikipedia.org | <s> I thought he might be mad - but he loved it. </s> 
wikipedia.org | <s> And the two reunite and admit that they love each other. </s> 
wikipedia.org | <s> He also still loves theater, including contemporary theater, and attends regularly. </s> 
wikipedia.org | <s> Dickerson loved teaching children, including kindergartners and preschool children. </s> 
wikipedia.org | <s> He loves drawing, and has produced many accurate sketches of Pokémon. </s> 
wikipedia.org | <s> Yan's loving and understanding husband and Bianca's father. </s> 
wikipedia.org | <s> The shoot was a success and both Miller and Coddington loved it. </s> 
